0,1,2,3,4,5,6,7
4.163,4.01,4.2,199761034,27153794,7.36,14.01,0
4.253,4.2,4.33,117549848,27808033,4.23,8.25,1
4.313,4.3,4.33,1194903,1295251,0.92,0.08,0
4.361,4.33,4.38,8153694,3954332,2.06,0.57,0
4.393,4.38,4.417,3811701,2628854,1.45,0.27,0
4.44,4.417,4.47,5094866,2940907,1.73,0.36,0
4.493,4.47,4.523,1739721,719133,2.42,0.12,0
4.557,4.523,4.593,2701816,861279,3.14,0.19,0
4.626,4.593,4.647,2629067,995640,2.64,0.18,0
4.668,4.647,4.697,2827023,1421616,1.99,0.2,0
4.719,4.697,4.753,1743408,900816,1.94,0.12,0
4.801,4.753,4.883,12174616,5175514,2.35,0.85,0
4.927,4.883,4.97,1992184,624231,3.19,0.14,0
5.05,4.97,5.09,3787231,1673203,2.26,0.27,0
5.117,5.09,5.12,348529,243919,1.43,0.02,0
5.175,5.12,5.24,10109920,4167602,2.43,0.71,0
5.268,5.24,5.287,2959593,1481992,2,0.21,0
5.307,5.287,5.343,4429969,2356883,1.88,0.31,0
5.376,5.343,5.44,1946083,710833,2.74,0.14,0
5.481,5.44,5.533,2672201,1262896,2.12,0.19,0
5.571,5.533,5.633,3517506,1411944,2.49,0.25,0
5.766,5.633,5.837,25824909,8565880,3.01,1.81,0
5.93,5.837,5.957,53684158,16299084,3.29,3.77,0
5.971,5.957,6.003,2167893,1398961,1.55,0.15,0
6.068,6.003,6.15,5306785,1295837,4.1,0.37,0
6.166,6.15,6.197,385409,156218,2.47,0.03,0
6.211,6.197,6.227,176645,104036,1.7,0.01,0
6.27,6.227,6.297,2574473,1176874,2.19,0.18,0
6.311,6.297,6.333,861215,444512,1.94,0.06,0
6.375,6.333,6.417,4333393,1719137,2.52,0.3,0
6.453,6.417,6.513,6288315,2195014,2.86,0.44,0
6.56,6.513,6.6,15881620,7480367,2.12,1.11,0
6.626,6.6,6.663,926947,336700,2.75,0.07,0
6.706,6.663,6.74,1109133,367470,3.02,0.08,0
6.845,6.74,6.88,22556910,8547946,2.64,1.58,0
6.899,6.88,6.923,2092451,1038045,2.02,0.15,0
6.942,6.923,6.983,2138859,777982,2.75,0.15,0
7.016,6.983,7.05,2893657,1343560,2.15,0.2,0
7.087,7.05,7.12,5524469,2475555,2.23,0.39,0
7.132,7.12,7.173,1557686,792169,1.97,0.11,0
7.187,7.173,7.233,557706,215521,2.59,0.04,0
7.283,7.233,7.32,794509,198646,4,0.06,0
7.405,7.32,7.467,23345516,9129391,2.56,1.64,0
7.492,7.467,7.54,833445,321024,2.6,0.06,0
7.606,7.54,7.687,8987984,3805629,2.36,0.63,1
7.661,7.65,7.68,49159,41474,1.19,0,0
7.728,7.687,7.8,2616934,978957,2.67,0.18,0
7.846,7.8,7.887,898143,286293,3.14,0.06,0
7.925,7.887,7.96,773122,277024,2.79,0.05,0
7.967,7.96,7.987,181979,113108,1.61,0.01,0
8.099,7.987,8.16,3259834,629492,5.18,0.23,0
8.173,8.16,8.193,176535,101158,1.75,0.01,0
8.238,8.193,8.267,489532,135150,3.62,0.03,0
8.351,8.267,8.437,41180190,13281325,3.1,2.89,0
8.552,8.437,8.587,48637769,12229670,3.98,3.41,0
8.641,8.587,8.71,6181407,2282485,2.71,0.43,0
8.759,8.71,8.823,3742995,1495379,2.5,0.26,1
8.803,8.8,8.823,9748,3626,2.69,0,0
8.903,8.823,8.963,4284948,1396983,3.07,0.3,0
8.998,8.963,9.037,1358161,520135,2.61,0.1,0
9.065,9.037,9.087,621142,247638,2.51,0.04,0
9.117,9.087,9.15,1497037,627090,2.39,0.11,0
9.162,9.15,9.2,681088,273209,2.49,0.05,0
9.226,9.2,9.257,648813,206051,3.15,0.05,0
9.272,9.257,9.283,284761,192481,1.48,0.02,0
9.292,9.283,9.313,321511,193215,1.66,0.02,0
9.344,9.313,9.403,1072630,328674,3.26,0.08,0
9.456,9.403,9.543,1646767,279950,5.88,0.12,0
9.573,9.543,9.603,410376,142188,2.89,0.03,0
9.665,9.603,9.7,1721919,603635,2.85,0.12,0
9.729,9.7,9.763,838170,307570,2.73,0.06,0
9.857,9.763,9.9,5487544,1736658,3.16,0.38,0
9.947,9.9,10.03,5722003,2215469,2.58,0.4,1
10.022,10.017,10.03,1497,6535,0.23,0,0
10.1,10.03,10.137,6918060,2839479,2.44,0.49,0
10.169,10.137,10.267,2351772,728295,3.23,0.16,0
10.344,10.267,10.383,1054607,265615,3.97,0.07,0
10.423,10.383,10.463,670888,190449,3.52,0.05,0
10.505,10.463,10.573,731606,180285,4.06,0.05,0
10.651,10.573,10.693,3708949,1084360,3.42,0.26,0
10.778,10.693,10.84,38692061,12023413,3.22,2.71,0
10.862,10.84,10.89,381466,150989,2.53,0.03,0
10.94,10.89,10.97,1876740,766482,2.45,0.13,0
11.008,10.97,11.077,4074779,1559116,2.61,0.29,0
11.141,11.077,11.187,14731575,6004372,2.45,1.03,0
11.225,11.187,11.27,2707238,1103916,2.45,0.19,0
11.299,11.27,11.317,497815,204876,2.43,0.03,0
