Ret.Time,Proc.From,Proc.To,Mass,Area,Height,A/H,Conc.,Mark,Name,Ret. Index
4.163,4.01,4.2,TIC,199761034,27153794,7.36,14.01,   ,,
4.253,4.2,4.33,TIC,117549848,27808033,4.23,8.25,SV ,,
4.313,4.3,4.33,TIC,1194903,1295251,0.92,0.08,T  ,,
4.361,4.33,4.38,TIC,8153694,3954332,2.06,0.57, V ,,
4.393,4.38,4.417,TIC,3811701,2628854,1.45,0.27, V ,,
4.44,4.417,4.47,TIC,5094866,2940907,1.73,0.36, V ,,
4.493,4.47,4.523,TIC,1739721,719133,2.42,0.12, V ,,
4.557,4.523,4.593,TIC,2701816,861279,3.14,0.19, V ,,
4.626,4.593,4.647,TIC,2629067,995640,2.64,0.18, V ,,
4.668,4.647,4.697,TIC,2827023,1421616,1.99,0.2, V ,,
4.719,4.697,4.753,TIC,1743408,900816,1.94,0.12, V ,,
4.801,4.753,4.883,TIC,12174616,5175514,2.35,0.85, V ,,
4.927,4.883,4.97,TIC,1992184,624231,3.19,0.14, V ,,
5.05,4.97,5.09,TIC,3787231,1673203,2.26,0.27, V ,,
5.117,5.09,5.12,TIC,348529,243919,1.43,0.02, V ,,
5.175,5.12,5.24,TIC,10109920,4167602,2.43,0.71, V ,,
5.268,5.24,5.287,TIC,2959593,1481992,2,0.21, V ,,
5.307,5.287,5.343,TIC,4429969,2356883,1.88,0.31, V ,,
5.376,5.343,5.44,TIC,1946083,710833,2.74,0.14, V ,,
5.481,5.44,5.533,TIC,2672201,1262896,2.12,0.19, V ,,
5.571,5.533,5.633,TIC,3517506,1411944,2.49,0.25, V ,,
5.766,5.633,5.837,TIC,25824909,8565880,3.01,1.81, V ,,
5.93,5.837,5.957,TIC,53684158,16299084,3.29,3.77, V ,,
5.971,5.957,6.003,TIC,2167893,1398961,1.55,0.15, V ,,
6.068,6.003,6.15,TIC,5306785,1295837,4.1,0.37, V ,,
6.166,6.15,6.197,TIC,385409,156218,2.47,0.03, V ,,
6.211,6.197,6.227,TIC,176645,104036,1.7,0.01, V ,,
6.27,6.227,6.297,TIC,2574473,1176874,2.19,0.18, V ,,
6.311,6.297,6.333,TIC,861215,444512,1.94,0.06, V ,,
6.375,6.333,6.417,TIC,4333393,1719137,2.52,0.3, V ,,
6.453,6.417,6.513,TIC,6288315,2195014,2.86,0.44, V ,,
6.56,6.513,6.6,TIC,15881620,7480367,2.12,1.11, V ,,
6.626,6.6,6.663,TIC,926947,336700,2.75,0.07, V ,,
6.706,6.663,6.74,TIC,1109133,367470,3.02,0.08, V ,,
6.845,6.74,6.88,TIC,22556910,8547946,2.64,1.58, V ,,
6.899,6.88,6.923,TIC,2092451,1038045,2.02,0.15, V ,,
6.942,6.923,6.983,TIC,2138859,777982,2.75,0.15, V ,,
7.016,6.983,7.05,TIC,2893657,1343560,2.15,0.2, V ,,
7.087,7.05,7.12,TIC,5524469,2475555,2.23,0.39, V ,,
7.132,7.12,7.173,TIC,1557686,792169,1.97,0.11, V ,,
