[Header]
Data File Name	D:\2019 KYB\Youngnam CHJ\Data-041.qgd
Output Date	9/6/2019
Output Time	10:54:20 AM

[File Information]
Type	Data File
Generated	4/12/2019 12:27:12 PM
Generated by	Admin
Modified	9/6/2019 10:13:48 AM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Analyzed	4/12/2019 12:29:18 PM
Type	Unknown
Level	4
Sample Name	STD_5ug scan
Sample ID	
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	15
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	D:\2019 KYB\Youngnam CHJ\Data-041.qgd
Method File	D:\2019 KYB\Youngnam CHJ\OA_SCAN nontarget.qgm
Batch File	
Report Format File	REPORT.qgr
Tuning File	C:\GCMSsolution\System\Tune1\20190330.qgt

[File Description]


[MC Peak Table]
# of Peaks	815
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index
1	4.163	4.010	4.200	TIC	199761034	27153794	7.36	14.01	   		
2	4.253	4.200	4.330	TIC	117549848	27808033	4.23	8.25	SV 		
3	4.313	4.300	4.330	TIC	1194903	1295251	0.92	0.08	T  		
4	4.361	4.330	4.380	TIC	8153694	3954332	2.06	0.57	 V 		
5	4.393	4.380	4.417	TIC	3811701	2628854	1.45	0.27	 V 		
6	4.440	4.417	4.470	TIC	5094866	2940907	1.73	0.36	 V 		
7	4.493	4.470	4.523	TIC	1739721	719133	2.42	0.12	 V 		
8	4.557	4.523	4.593	TIC	2701816	861279	3.14	0.19	 V 		
9	4.626	4.593	4.647	TIC	2629067	995640	2.64	0.18	 V 		
10	4.668	4.647	4.697	TIC	2827023	1421616	1.99	0.20	 V 		
11	4.719	4.697	4.753	TIC	1743408	900816	1.94	0.12	 V 		
12	4.801	4.753	4.883	TIC	12174616	5175514	2.35	0.85	 V 		
13	4.927	4.883	4.970	TIC	1992184	624231	3.19	0.14	 V 		
14	5.050	4.970	5.090	TIC	3787231	1673203	2.26	0.27	 V 		
15	5.117	5.090	5.120	TIC	348529	243919	1.43	0.02	 V 		
16	5.175	5.120	5.240	TIC	10109920	4167602	2.43	0.71	 V 		
17	5.268	5.240	5.287	TIC	2959593	1481992	2.00	0.21	 V 		
18	5.307	5.287	5.343	TIC	4429969	2356883	1.88	0.31	 V 		
19	5.376	5.343	5.440	TIC	1946083	710833	2.74	0.14	 V 		
20	5.481	5.440	5.533	TIC	2672201	1262896	2.12	0.19	 V 		
21	5.571	5.533	5.633	TIC	3517506	1411944	2.49	0.25	 V 		
22	5.766	5.633	5.837	TIC	25824909	8565880	3.01	1.81	 V 		
23	5.930	5.837	5.957	TIC	53684158	16299084	3.29	3.77	 V 		
24	5.971	5.957	6.003	TIC	2167893	1398961	1.55	0.15	 V 		
25	6.068	6.003	6.150	TIC	5306785	1295837	4.10	0.37	 V 		
26	6.166	6.150	6.197	TIC	385409	156218	2.47	0.03	 V 		
27	6.211	6.197	6.227	TIC	176645	104036	1.70	0.01	 V 		
28	6.270	6.227	6.297	TIC	2574473	1176874	2.19	0.18	 V 		
29	6.311	6.297	6.333	TIC	861215	444512	1.94	0.06	 V 		
30	6.375	6.333	6.417	TIC	4333393	1719137	2.52	0.30	 V 		
31	6.453	6.417	6.513	TIC	6288315	2195014	2.86	0.44	 V 		
32	6.560	6.513	6.600	TIC	15881620	7480367	2.12	1.11	 V 		
33	6.626	6.600	6.663	TIC	926947	336700	2.75	0.07	 V 		
