time,value
45.3,33255
46.35,671
47.25,24966
48.5,355
49.3,899
51.25,90
52.15,554
53.3,1098
54.2,279
55.25,4076
56.15,31014
57.25,16965
58.25,26343
59.15,45578
60.25,5027
61.05,15096
62.25,337
63.25,443
64.1,142
65.5,238
66.15,3599
67.1,265
68.15,238
69.15,980
70.1,3884
71.15,1578
72.15,18902
73.15,286650
74.15,25456
75.1,211716
76.3,5262
77.25,7936
78.4,142
79.15,187
79.6,339
81.25,284
82.25,165
83.1,2029
84.15,2182
85.15,4277
86.1,33114
87.15,10490
88.15,22864
89.25,1787
90.1,2940
91.25,193
92.25,196
93.15,2737
94.2,274
95.3,175
96.1,418
97.2,987
98.1,272
99.2,8662
100.15,9934
101.25,7495
102.15,37190
103.15,26300
104.1,102405
105.3,5365
106.1,3271
107.95,365
109.1,188
110.15,730
111.15,729
112.25,549
113.2,18608
114.25,10146
115.15,70391
116.2,11397
117.15,15900
118.05,13655
119.15,4381
120.15,982
121.2,60
122.45,247
122.6,274
124.4,619
125.2,763
126.05,210
127.15,246
128.15,2747
129.15,4014
130.1,68539
131.15,7234
132.1,50472
133.05,24599
134.15,3040
134.8,1786
136.2,227
136.9,302
138.2,102
142.3,601
143.25,1236
144.2,10746
145.25,1171
146.15,5935
147.1,124414
148.25,11431
149.15,8639
151.15,452
153.3,228
154.25,490
155.05,1184
157.15,3236
158.1,84536
159.15,5770
160.15,13912
161.15,34517
162.2,1963
163.1,1930
164.15,127
165,103
166.55,192
168.2,216
170,269
171.1,309
172.1,2460
173.15,643
174.15,434
175.15,13642
176.1,380764
177.25,11168
178.15,12775
179.2,264
180.3,121
181.1,156
182.4,115
185.4,387
186.2,258
187.25,566
188.15,8107
189.15,75079
190.25,7137
191.25,5167
192.25,487
193,318
194,38
195.2,225
196.2,199
197.15,409
199.35,164
200.1,4159
201.15,485
202.15,652
203.15,5366
204.1,255374
205.2,11406
206.05,8788
207.2,54
208.2,218
209,86
209.95,196
212.05,262
213.05,3464
214.45,417
215.4,244
216.05,3663
217.15,726
218.1,9528
219.2,276
220,653
221.1,160
222.3,201
224.1,92
225.3,108
226.95,309
228.4,108
230.35,105
231.2,2159
232.45,410
232.85,224
234.1,67
237.2,40
239.2,23
240.4,193
243.35,399
244.3,564
246.1,3469
247.45,188
248.25,241
251.3,75
252.3,59
253.5,324
253.8,124
255.15,816
257.3,56
258.3,34
259,102
260.55,108
260.95,734
262.3,409
264.1,36
265.3,85
267.1,37
268.25,1103
269.1,45596
270.3,4491
271,5215
272.35,375
273.4,210
273.9,79
276.4,57
277,43
282,65
283.2,71
285.1,95
286.1,475
286.65,95
288.1,102
289.3,66
290.55,194
293.2,56
293.6,53
295,62
296.2,70
297.6,76
300.2,67
302.2,56
304.1,80
305.2,72
306.2,67
307.1,43
310.4,69
311,568
313.1,103
313.6,81
317.5,66
318.1,83
322.1,46
323,48
327.2,23
328.2,92
329.2,89
331,45
332.5,59
333.4,76
335,14
336.2,72
338.2,63
340.1,7
341.3,158
342,95
344.1,58
346.4,74
347.1,63
347.6,22
351.4,56
352.3,59
353.2,41
354.1,73
355.3,84
355.9,19
358.1,51
359.1,64
360,28
361.1,62
363.3,55
364,51
365.5,80
365.8,30
367.3,6
369.4,92
371.1,15
373.3,61
374.3,55
375,23
376.2,81
376.8,2
379.3,45
379.8,20
381.9,2
384.3,64
385.1,81
385.6,67
387.2,14
388.1,62
388.6,66
392.2,56
393.1,19
395,28
396.1,72
398.2,45
404.2,56
405.3,35
407.2,6
409.3,25
409.6,51
410.6,16
411.8,62
416,74
417.2,57
422.3,48
424.3,61
426.4,65
428.2,65
430.3,57
433,53
433.9,53
437.9,19
439.5,57
442.1,50
444,33
446.9,47
448.3,5
449,62
450.2,52
451.1,50
452.2,52
453,48
455,58
455.6,43
461.1,50
465.1,74
467.2,53
469.3,47
470.1,50
472,56
473.8,41
475.1,15
476.3,55
477.9,53
479.2,64
481.4,27
482.6,34
484,44
485.4,49
487.6,50
489.3,56
490.4,9
491.1,48
492.1,26
493,46
494.3,60
495,10
496.3,48
499.2,47
503,53
505.4,60
505.8,65
507,56
509.1,53
510.4,53
511.3,17
515.4,42
517,57
518.1,59
519.1,46
521,34
523.1,57
524.2,50
526.2,69
527.2,48
530.3,45
531.5,49
532.2,4
534.3,61
536.3,45
541,64
544.2,47
546.2,79
547.1,13
548.2,58
549.1,44
552,54
553,44
554,51
556.1,2
557.2,57
559,56
560.3,50
561,75
562.2,38
563.2,51
568.1,63
569,8
570.2,57
573.3,66
574.4,55
575.3,64
576.1,46
578.2,57
579,61
582.3,44
583,54
586.2,46
588.1,23
590.3,33
591.2,2
592.1,32
593.2,51
595,35
597.2,51
598.2,29
599.4,7
600.2,70
602.1,39
603.3,55
604.2,47
605.2,61
606.1,58
608,48
609.1,59
610.4,43
612.2,50
613.3,65
614,66
616.3,40
619,43
619.6,45
621.3,57
623,50
624.2,30
626.2,44
627.2,48
627.9,69
631,19
632.1,43
633.2,48
634.2,41
636.3,45
637.1,38
639.2,35
640.3,1
641.3,62
642.3,3
643.1,25
644.1,46
645.9,42
647.3,12
648.1,40
648.9,43
652.1,52
653.3,46
656.2,22
657.1,4
660.2,50
663.3,30
663.9,55
665.1,66
666.2,16
668.3,40
669.2,50
670.2,39
671.2,51
672.4,63
673.1,41
674.2,50
675.1,40
676.1,50
677.5,27
679.2,51
680.5,23
682,50
683.1,52
684,59
686.4,50
687.3,17
688.8,53
689.9,32
692.3,53
693.5,63
694.2,21
695.3,20
698,44
701.1,8
702,50
703.1,55
706.4,60
708.2,44
709.1,49
710.1,1
711.3,63
712.2,40
713.2,56
714.1,23
715.2,49
716.2,53
717,49
719.2,48
720.1,16
722.4,14
724,50
725.1,4
726.1,53
727.4,53
728.2,49
729,64
730.1,59
730.8,50
731.6,10
734.3,53
735.2,13
736.1,32
737.1,8
739.8,59
741.1,27
742.2,48
744.2,28
746.1,50
749.2,37
750,56
751.1,47
752.2,15
754.1,56
755.8,60
757.1,42
758.4,44
760.2,56
761,45
762,40
762.8,69
764.1,48
765.1,69
767.3,47
768.1,48
770,59
771.2,82
774.2,14
778.5,45
781.2,5
782,47
782.9,72
784.3,48
786.1,2
787.2,36
789.9,44
791.1,33
792.4,39
793.6,41
795.3,38
797.3,54
799.1,50
800.3,56
802.1,51
806.3,50
807.3,39
808.3,50
809,40
811.3,43
814.2,44
815.3,56
816.1,43
817.1,13
817.9,46
818.6,34
821.2,46
822.2,32
824.3,54
825.3,55
826,41
828.2,48
829.2,40
830.1,47
831.1,34
832.3,56
833.2,60
834,43
836,57
838,6
840.1,48
841,62
842.3,58
843.4,42
844,51
845.3,47
846.2,57
