time,value,group
0.453,0.33255,0.0873
0.4635,0.00671,0.0018
0.4725,0.24966,0.0656
0.485,0.00355,0.0009
0.493,0.00899,0.0024
0.5125,0.00009,0.0002
0.5215,0.00554,0.0015
0.533,0.01098,0.0029
0.542,0.00279,0.0007
0.5525,0.04076,0.0107
0.5615,0.31014,0.0815
0.5725,0.16965,0.0446
0.5825,0.26343,0.0692
0.5915,0.45578,0.1197
0.6025,0.05027,0.0132
0.6105,0.15096,0.0396
0.6225,0.00337,0.0009
0.6325,0.00443,0.0012
0.641,0.00142,0.0004
0.453,0.33255,0.0873
0.4635,0.00671,0.0018
0.4725,0.24966,0.0656
0.485,0.00355,0.0009
0.493,0.00899,0.0024
0.5125,0.00009,0.0002
0.5215,0.00554,0.0015
0.533,0.01098,0.0029
0.542,0.00279,0.0007
0.5525,0.04076,0.0107
0.5615,0.31014,0.0815
0.5725,0.16965,0.0446
0.5825,0.26343,0.0692
0.5915,0.45578,0.1197
0.6025,0.05027,0.0132
0.6105,0.15096,0.0396
0.6225,0.00337,0.0009
0.6325,0.00443,0.0012
0.641,0.00142,0.0004
0.453,0.33255,0.0873
0.4635,0.00671,0.0018
0.4725,0.24966,0.0656
0.485,0.00355,0.0009
0.493,0.00899,0.0024
0.5125,0.00009,0.0002
0.5215,0.00554,0.0015
0.533,0.01098,0.0029
0.542,0.00279,0.0007
0.5525,0.04076,0.0107
0.5615,0.31014,0.0815
0.5725,0.16965,0.0446
0.5825,0.26343,0.0692
0.5915,0.45578,0.1197
0.6025,0.05027,0.0132
0.6105,0.15096,0.0396
0.6225,0.00337,0.0009
0.6325,0.00443,0.0012
0.641,0.00142,0.0004
0.453,0.33255,0.0873
0.4635,0.00671,0.0018
0.4725,0.24966,0.0656
0.485,0.00355,0.0009
0.493,0.00899,0.0024
0.5125,0.00009,0.0002
0.5215,0.00554,0.0015
0.533,0.01098,0.0029
0.542,0.00279,0.0007
0.5525,0.04076,0.0107
0.5615,0.31014,0.0815
0.5725,0.16965,0.0446
0.5825,0.26343,0.0692
0.5915,0.45578,0.1197
0.6025,0.05027,0.0132
0.6105,0.15096,0.0396
0.6225,0.00337,0.0009
0.6325,0.00443,0.0012
0.641,0.00142,0.0004
0.453,0.33255,0.0873
0.4635,0.00671,0.0018
0.4725,0.24966,0.0656
0.485,0.00355,0.0009
0.493,0.00899,0.0024
0.5125,0.00009,0.0002
0.5215,0.00554,0.0015
0.533,0.01098,0.0029
0.542,0.00279,0.0007
0.5525,0.04076,0.0107
0.5615,0.31014,0.0815
0.5725,0.16965,0.0446
0.5825,0.26343,0.0692
0.5915,0.45578,0.1197
0.6025,0.05027,0.0132
0.6105,0.15096,0.0396
0.6225,0.00337,0.0009
0.6325,0.00443,0.0012
0.641,0.00142,0.0004
0.453,0.33255,0.0873
0.4635,0.00671,0.0018
0.4725,0.24966,0.0656
0.485,0.00355,0.0009
0.493,0.00899,0.0024
