time,value,group
0.453,0.52277,0.0699
0.4635,0.01109,0.0015
0.4725,0.41757,0.0558
0.478,0.00059,0.0008
0.4935,0.01294,0.0017
0.501,0.00159,0.0002
0.5125,0.00448,0.0006
0.5245,0.00549,0.0007
0.531,0.01478,0.002
0.5525,0.00603,0.0081
0.562,0.54042,0.0722
0.5725,0.23658,0.0316
0.5825,0.04374,0.0585
0.592,0.71414,0.0955
0.6025,0.09216,0.0123
0.6115,0.25951,0.0347
0.624,0.00632,0.0008
0.631,0.00868,0.0012
0.641,0.00114,0.0002
0.453,0.52277,0.0699
0.4635,0.01109,0.0015
0.4725,0.41757,0.0558
0.478,0.00059,0.0008
0.4935,0.01294,0.0017
0.501,0.00159,0.0002
0.5125,0.00448,0.0006
0.5245,0.00549,0.0007
0.531,0.01478,0.002
0.5525,0.00603,0.0081
0.562,0.54042,0.0722
0.5725,0.23658,0.0316
0.5825,0.04374,0.0585
0.592,0.71414,0.0955
0.6025,0.09216,0.0123
0.6115,0.25951,0.0347
0.624,0.00632,0.0008
0.631,0.00868,0.0012
0.641,0.00114,0.0002
0.453,0.52277,0.0699
0.4635,0.01109,0.0015
0.4725,0.41757,0.0558
0.478,0.00059,0.0008
0.4935,0.01294,0.0017
0.501,0.00159,0.0002
0.5125,0.00448,0.0006
0.5245,0.00549,0.0007
0.531,0.01478,0.002
0.5525,0.00603,0.0081
0.562,0.54042,0.0722
0.5725,0.23658,0.0316
0.5825,0.04374,0.0585
0.592,0.71414,0.0955
0.6025,0.09216,0.0123
0.6115,0.25951,0.0347
0.624,0.00632,0.0008
0.631,0.00868,0.0012
0.641,0.00114,0.0002
0.453,0.52277,0.0699
0.4635,0.01109,0.0015
0.4725,0.41757,0.0558
0.478,0.00059,0.0008
0.4935,0.01294,0.0017
0.501,0.00159,0.0002
0.5125,0.00448,0.0006
0.5245,0.00549,0.0007
0.531,0.01478,0.002
0.5525,0.00603,0.0081
0.562,0.54042,0.0722
0.5725,0.23658,0.0316
0.5825,0.04374,0.0585
0.592,0.71414,0.0955
0.6025,0.09216,0.0123
0.6115,0.25951,0.0347
0.624,0.00632,0.0008
0.631,0.00868,0.0012
0.641,0.00114,0.0002
0.453,0.52277,0.0699
0.4635,0.01109,0.0015
0.4725,0.41757,0.0558
0.478,0.00059,0.0008
0.4935,0.01294,0.0017
0.501,0.00159,0.0002
0.5125,0.00448,0.0006
0.5245,0.00549,0.0007
0.531,0.01478,0.002
0.5525,0.00603,0.0081
0.562,0.54042,0.0722
0.5725,0.23658,0.0316
0.5825,0.04374,0.0585
0.592,0.71414,0.0955
0.6025,0.09216,0.0123
0.6115,0.25951,0.0347
0.624,0.00632,0.0008
0.631,0.00868,0.0012
0.641,0.00114,0.0002
0.453,0.52277,0.0699
0.4635,0.01109,0.0015
0.4725,0.41757,0.0558
0.478,0.00059,0.0008
0.4935,0.01294,0.0017
